ID;Operador;Pop;TX_C;TX_M;Melhor;Pior;Média;Mediana;Desvio Padrão;Vetor da Rota (Melhor)
C1;OX;50;0.8;0.01;955.0;1218.0;1066.94;1062.0;65.15708178028271;[23, 24, 0, 14, 12, 11, 10, 9, 13, 2, 1, 3, 5, 4, 6, 7, 8, 15, 18, 19, 17, 16, 20, 21, 25, 22]
C2;PMX;50;0.8;0.01;993.0;1314.0;1165.64;1170.5;64.6152695670651;[0, 2, 14, 13, 9, 8, 10, 12, 11, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 7, 6, 4, 5, 3, 1]
C3;OX;50;0.8;0.05;1027.0;1358.0;1180.42;1184.0;72.46197877057277;[13, 14, 12, 0, 1, 2, 4, 3, 5, 6, 7, 8, 15, 18, 19, 17, 25, 22, 23, 24, 21, 20, 16, 11, 10, 9]
C4;PMX;50;0.8;0.05;1000.0;1293.0;1124.74;1138.5;75.58150351421561;[24, 11, 12, 14, 0, 1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 10, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23]
C5;OX;50;0.9;0.01;941.0;1197.0;1050.98;1060.0;60.36707103468018;[19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 12, 11, 10, 15, 18]
C6;PMX;50;0.9;0.01;979.0;1342.0;1128.96;1111.5;85.27625216713895;[13, 14, 12, 11, 0, 24, 23, 22, 21, 25, 20, 16, 17, 19, 18, 15, 10, 9, 8, 7, 6, 4, 5, 3, 1, 2]
C7;OX;50;0.9;0.05;1076.0;1405.0;1224.44;1229.0;78.36340253678918;[15, 8, 7, 6, 5, 4, 3, 2, 1, 0, 12, 11, 14, 13, 10, 9, 16, 25, 24, 23, 22, 21, 20, 17, 19, 18]
C8;PMX;50;0.9;0.05;937.0;1328.0;1107.68;1104.0;82.12097596763905;[3, 2, 1, 0, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 10, 11, 12, 14, 13, 9, 8, 7, 6, 4, 5]
C9;OX;100;0.8;0.01;953.0;1092.0;1011.16;1006.0;40.67660411648174;[12, 11, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 8, 7, 6, 4, 5, 3, 2, 1, 0, 14, 13, 9, 10]
C10;PMX;100;0.8;0.01;955.0;1297.0;1114.86;1112.0;72.06686521019552;[15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 14, 11, 12, 10, 9, 13, 2, 1, 3, 5, 4, 6, 7, 8]
C11;OX;100;0.8;0.05;1101.0;1367.0;1226.38;1225.0;64.31900407899897;[3, 4, 9, 2, 13, 10, 12, 11, 14, 1, 0, 24, 23, 22, 25, 21, 20, 19, 18, 16, 17, 15, 8, 7, 6, 5]
C12;PMX;100;0.8;0.05;955.0;1239.0;1090.8;1089.0;72.1545959332163;[9, 13, 2, 1, 3, 5, 4, 6, 7, 8, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 14, 12, 11, 10]
C13;OX;100;0.9;0.01;937.0;1124.0;1010.48;1009.0;44.121464996862784;[9, 13, 14, 11, 12, 10, 15, 18, 19, 17, 16, 20, 21, 25, 22, 23, 24, 0, 1, 2, 3, 5, 4, 6, 7, 8]
C14;PMX;100;0.9;0.01;962.0;1235.0;1105.22;1113.0;75.63858479773457;[3, 1, 2, 9, 10, 11, 12, 13, 14, 0, 24, 23, 22, 25, 21, 20, 16, 17, 19, 18, 15, 8, 7, 6, 4, 5]
C15;OX;100;0.9;0.05;1055.0;1417.0;1231.86;1234.5;66.75572588756346;[20, 25, 21, 22, 23, 24, 11, 14, 9, 8, 7, 6, 4, 5, 3, 2, 1, 0, 13, 12, 10, 15, 18, 17, 19, 16]
C16;PMX;100;0.9;0.05;966.0;1244.0;1101.72;1099.0;73.53800627802565;[18, 15, 7, 6, 4, 5, 3, 8, 9, 10, 11, 12, 14, 13, 2, 1, 0, 24, 23, 22, 25, 21, 20, 16, 17, 19]
